BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Vegetables,177.9,1.48
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Pulses and Products,219.7,8.82
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Spices,196.9,0.31
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",193.7,2.7
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Non-alcoholic Beverages,157.7,2.34
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,*,182.7,6.22
2012,2025,February,Chhattisgarh,Combined,"Pan, Tobacco and Intoxicants",*,214.9,6.44
2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,Clothing,198.5,3.6
2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,Footwear,189.2,5.11
2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,*,197.4,3.84
2012,2025,February,Chhattisgarh,Combined,Fuel and Light,*,220.3,2.47
2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Household Goods and Services,179.9,3.75
2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Health,191.4,3.35
2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Transport and Communication,159.1,2.58
2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Education,166.6,4.19
2012,2025,February,Chhattisgarh,Combined,Miscellaneous,*,175.4,4.59
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Cereals and Products,164.5,10.77
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Meat and Fish,204.4,9.89
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Egg,188.1,1.84
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Fruits,204.9,11.97
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Vegetables,167,2.08
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Pulses and Products,216.9,10.16
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Spices,192.5,0.05
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",190.8,1.98
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Non-alcoholic Beverages,157.9,2.07
2012,2025,February,Chhattisgarh,Rural,Food and Beverages,*,179.1,6.99
2012,2025,February,Chhattisgarh,Rural,"Pan, Tobacco and Intoxicants",*,220.1,6.43
